Store ID,Product ID,Forecast_Horizon_Total,Forecast_Daily_Avg,Forecast_Daily_Std,Category,Region,Inventory Date,Current Inventory,Historical_Avg_Demand,Historical_Std_Demand,Historical_Min_Demand,Historical_Max_Demand,Demand_Std_Used,Safety Stock,Lead Time Demand,Reorder Point,Target Inventory,Recommended Order,Projected Inventory,Days Until Stockout,Projected Shortage,Inventory Coverage Ratio,Inventory Ratio,Risk Level,Risk Score,Recommended Action,Lead Time Days,Service Level,Forecast Horizon Days
S005,P0003,821.69,117.38,0.8,Toys,North,2024-01-30,212,92.95,45.09,4,237,45.09,128.48,352.15,480.63,950.17,739.0,-609.69,1.81,609.69,0.26,0.44,High,3,Urgent Replenishment,3,0.95,7
S002,P0010,729.91,104.27,1.02,Groceries,South,2024-01-30,143,122.72,49.54,4,312,49.54,141.15,312.82,453.97,871.06,729.0,-586.91,1.37,586.91,0.2,0.32,High,3,Urgent Replenishment,3,0.95,7
S002,P0008,668.42,95.49,0.52,Groceries,South,2024-01-30,85,121.61,48.12,4,330,48.12,137.09,286.47,423.56,805.52,721.0,-583.42,0.89,583.42,0.13,0.2,High,3,Urgent Replenishment,3,0.95,7
S004,P0020,698.75,99.82,2.63,Furniture,West,2024-01-30,79,73.55,32.98,4,174,32.98,93.96,299.46,393.42,792.71,714.0,-619.75,0.79,619.75,0.11,0.2,High,3,Urgent Replenishment,3,0.95,7
S004,P0019,810.84,115.83,0.6,Clothing,West,2024-01-30,219,111.99,38.95,10,273,38.95,110.96,347.5,458.47,921.8,703.0,-591.84,1.89,591.84,0.27,0.48,High,3,Urgent Replenishment,3,0.95,7
S002,P0016,671.64,95.95,0.72,Clothing,South,2024-01-30,88,108.33,38.76,4,241,38.76,110.43,287.84,398.27,782.06,695.0,-583.64,0.92,583.64,0.13,0.22,High,3,Urgent Replenishment,3,0.95,7
S005,P0014,763.24,109.03,0.6,Furniture,North,2024-01-30,161,74.77,31.6,4,200,31.6,90.03,327.1,417.14,853.28,693.0,-602.24,1.48,602.24,0.21,0.39,High,3,Urgent Replenishment,3,0.95,7
S005,P0005,844.18,120.6,1.33,Groceries,North,2024-01-30,288,119.71,47.84,7,347,47.84,136.3,361.79,498.09,980.48,693.0,-556.18,2.39,556.18,0.34,0.58,High,3,Urgent Replenishment,3,0.95,7
S005,P0009,693.39,99.06,2.5,Groceries,North,2024-01-30,136,120.66,47.21,4,338,47.21,134.52,297.17,431.69,827.91,692.0,-557.39,1.37,557.39,0.2,0.32,High,3,Urgent Replenishment,3,0.95,7
S003,P0008,745.44,106.49,1.3,Clothing,East,2024-01-30,170,109.25,38.46,22,271,38.46,109.57,319.47,429.05,855.01,686.0,-575.44,1.6,575.44,0.23,0.4,High,3,Urgent Replenishment,3,0.95,7
S002,P0009,692.87,98.98,0.57,Groceries,South,2024-01-30,153,120.72,49.42,24,336,49.42,140.82,296.94,437.76,833.68,681.0,-539.87,1.55,539.87,0.22,0.35,High,3,Urgent Replenishment,3,0.95,7
S003,P0017,828.71,118.39,0.36,Furniture,East,2024-01-30,239,72.47,31.21,10,171,31.21,88.94,355.16,444.1,917.64,679.0,-589.71,2.02,589.71,0.29,0.54,High,3,Urgent Replenishment,3,0.95,7
S004,P0004,968.66,138.38,0.61,Groceries,West,2024-01-30,439,122.42,50.05,4,327,50.05,142.59,415.14,557.73,1111.26,673.0,-529.66,3.17,529.66,0.45,0.79,High,3,Urgent Replenishment,3,0.95,7
S001,P0003,973.08,139.01,1.01,Clothing,North,2024-01-30,434,123.34,43.38,4,296,43.38,123.6,417.03,540.63,1096.68,663.0,-539.08,3.12,539.08,0.45,0.8,High,3,Urgent Replenishment,3,0.95,7
S003,P0002,846.39,120.91,0.34,Groceries,East,2024-01-30,327,123.2,49.01,19,327,49.01,139.63,362.74,502.37,986.02,660.0,-519.39,2.7,519.39,0.39,0.65,High,3,Urgent Replenishment,3,0.95,7
S003,P0015,925.31,132.19,0.94,Groceries,East,2024-01-30,413,119.18,50.48,4,358,50.48,143.83,396.56,540.39,1069.14,657.0,-512.31,3.12,512.31,0.45,0.76,High,3,Urgent Replenishment,3,0.95,7
S001,P0015,599.7,85.67,3.14,Toys,North,2024-01-30,80,91.25,46.22,4,274,46.22,131.7,257.02,388.72,731.41,652.0,-519.7,0.93,519.7,0.13,0.21,High,3,Urgent Replenishment,3,0.95,7
S003,P0020,632.56,90.37,0.63,Clothing,East,2024-01-30,113,109.66,40.13,20,295,40.13,114.34,271.1,385.44,746.9,634.0,-519.56,1.25,519.56,0.18,0.29,High,3,Urgent Replenishment,3,0.95,7
S004,P0012,705.45,100.78,1.49,Electronics,West,2024-01-30,201,96.07,38.93,9,233,38.93,110.93,302.34,413.26,816.38,616.0,-504.45,1.99,504.45,0.28,0.49,High,3,Urgent Replenishment,3,0.95,7
S002,P0005,1049.61,149.94,2.35,Electronics,South,2024-01-30,552,96.29,40.35,4,339,40.35,114.97,449.83,564.8,1164.57,613.0,-497.61,3.68,497.61,0.53,0.98,High,3,Urgent Replenishment,3,0.95,7
S001,P0017,639.31,91.33,0.36,Toys,North,2024-01-30,186,94.16,46.99,4,319,46.99,133.9,273.99,407.89,773.21,588.0,-453.31,2.04,453.31,0.29,0.46,High,3,Urgent Replenishment,3,0.95,7
S002,P0019,811.44,115.92,0.85,Clothing,South,2024-01-30,339,109.07,38.61,14,243,38.61,110.0,347.76,457.76,921.44,583.0,-472.44,2.92,472.44,0.42,0.74,High,3,Urgent Replenishment,3,0.95,7
S005,P0010,560.46,80.07,0.47,Groceries,North,2024-01-30,115,118.79,47.92,4,304,47.92,136.55,240.2,376.74,697.01,583.0,-445.46,1.44,445.46,0.21,0.31,High,3,Urgent Replenishment,3,0.95,7
S004,P0001,786.85,112.41,0.81,Groceries,West,2024-01-30,342,122.98,47.81,4,291,47.81,136.23,337.22,473.46,923.09,582.0,-444.85,3.04,444.85,0.43,0.72,High,3,Urgent Replenishment,3,0.95,7
S001,P0009,576.63,82.38,1.65,Clothing,North,2024-01-30,128,121.73,44.21,4,330,44.21,125.97,247.13,373.1,702.6,575.0,-448.63,1.55,448.63,0.22,0.34,High,3,Urgent Replenishment,3,0.95,7
S005,P0008,566.1,80.87,1.45,Groceries,North,2024-01-30,154,122.43,50.18,4,430,50.18,142.97,242.61,385.58,709.06,556.0,-412.1,1.9,412.1,0.27,0.4,High,3,Urgent Replenishment,3,0.95,7
S004,P0006,542.75,77.54,1.13,Groceries,West,2024-01-30,134,121.02,49.41,4,357,49.41,140.77,232.61,373.37,683.52,550.0,-408.75,1.73,408.75,0.25,0.36,High,3,Urgent Replenishment,3,0.95,7
S004,P0005,622.92,88.99,0.47,Clothing,West,2024-01-30,184,109.68,38.28,9,264,38.28,109.08,266.96,376.04,732.0,548.0,-438.92,2.07,438.92,0.3,0.49,High,3,Urgent Replenishment,3,0.95,7
S004,P0007,959.76,137.11,1.24,Groceries,West,2024-01-30,574,120.28,48.36,7,331,48.36,137.8,411.33,549.12,1097.55,524.0,-385.76,4.19,385.76,0.6,1.05,High,3,Urgent Replenishment,3,0.95,7
S005,P0019,548.25,78.32,0.06,Furniture,North,2024-01-30,125,72.82,32.26,5,194,32.26,91.9,234.96,326.87,640.15,516.0,-423.25,1.6,423.25,0.23,0.38,High,3,Urgent Replenishment,3,0.95,7
S004,P0018,512.17,73.17,0.06,Furniture,West,2024-01-30,97,71.68,31.0,4,181,31.0,88.33,219.5,307.83,600.5,504.0,-415.17,1.33,415.17,0.19,0.32,High,3,Urgent Replenishment,3,0.95,7
S001,P0018,491.02,70.15,1.82,Groceries,North,2024-01-30,130,121.91,49.95,8,328,49.95,142.31,210.44,352.74,633.32,504.0,-361.02,1.85,361.02,0.26,0.37,High,3,Urgent Replenishment,3,0.95,7
S002,P0007,782.84,111.83,0.48,Toys,South,2024-01-30,414,91.87,46.37,4,273,46.37,132.13,335.5,467.63,914.97,501.0,-368.84,3.7,368.84,0.53,0.89,High,3,Urgent Replenishment,3,0.95,7
S002,P0004,481.11,68.73,0.6,Groceries,South,2024-01-30,129,118.12,48.27,4,351,48.27,137.53,206.19,343.72,618.64,490.0,-352.11,1.88,352.11,0.27,0.38,High,3,Urgent Replenishment,3,0.95,7
S005,P0020,484.87,69.27,0.92,Toys,North,2024-01-30,126,92.04,45.16,9,249,45.16,128.66,207.8,336.46,613.53,488.0,-358.87,1.82,358.87,0.26,0.37,High,3,Urgent Replenishment,3,0.95,7
S002,P0017,556.48,79.5,0.43,Toys,South,2024-01-30,204,92.93,45.72,4,234,45.72,130.27,238.49,368.77,686.76,483.0,-352.48,2.57,352.48,0.37,0.55,High,3,Urgent Replenishment,3,0.95,7
S005,P0001,609.58,87.08,0.72,Groceries,North,2024-01-30,267,119.8,48.13,6,285,48.13,137.14,261.25,398.39,746.72,480.0,-342.58,3.07,342.58,0.44,0.67,High,3,Urgent Replenishment,3,0.95,7
S001,P0016,559.09,79.87,1.22,Groceries,North,2024-01-30,225,122.18,50.28,5,378,50.28,143.25,239.61,382.86,702.34,478.0,-334.09,2.82,334.09,0.4,0.59,High,3,Urgent Replenishment,3,0.95,7
S002,P0011,407.86,58.27,0.86,Groceries,South,2024-01-30,73,119.29,47.93,4,290,47.93,136.57,174.8,311.36,544.42,472.0,-334.86,1.25,334.86,0.18,0.23,High,3,Urgent Replenishment,3,0.95,7
S004,P0009,824.26,117.75,1.82,Clothing,West,2024-01-30,472,108.24,40.07,4,322,40.07,114.18,353.26,467.43,938.44,467.0,-352.26,4.01,352.26,0.57,1.01,High,3,Urgent Replenishment,3,0.95,7
S001,P0004,592.6,84.66,0.5,Electronics,North,2024-01-30,241,93.06,38.55,4,218,38.55,109.84,253.97,363.81,702.44,462.0,-351.6,2.85,351.6,0.41,0.66,High,3,Urgent Replenishment,3,0.95,7
S001,P0019,469.2,67.03,0.87,Furniture,North,2024-01-30,110,73.48,32.65,4,211,32.65,93.02,201.09,294.1,562.22,453.0,-359.2,1.64,359.2,0.23,0.37,High,3,Urgent Replenishment,3,0.95,7
S003,P0001,531.74,75.96,0.39,Toys,East,2024-01-30,207,91.44,43.64,4,254,43.64,124.35,227.89,352.24,656.09,450.0,-324.74,2.73,324.74,0.39,0.59,High,3,Urgent Replenishment,3,0.95,7
S004,P0008,416.53,59.5,0.47,Furniture,West,2024-01-30,92,75.11,34.0,4,214,34.0,96.87,178.51,275.38,513.4,422.0,-324.53,1.55,324.53,0.22,0.33,High,3,Urgent Replenishment,3,0.95,7
S001,P0001,687.21,98.17,0.33,Electronics,North,2024-01-30,383,92.81,35.54,15,218,35.54,101.25,294.52,395.77,788.47,406.0,-304.21,3.9,304.21,0.56,0.97,High,3,Urgent Replenishment,3,0.95,7
S005,P0016,496.55,70.94,0.32,Toys,North,2024-01-30,233,94.88,47.25,5,262,47.25,134.64,212.81,347.44,631.19,399.0,-263.55,3.28,263.55,0.47,0.67,High,3,Urgent Replenishment,3,0.95,7
S001,P0012,649.98,92.85,1.79,Groceries,North,2024-01-30,396,119.98,48.38,15,300,48.38,137.86,278.56,416.42,787.84,392.0,-253.98,4.26,253.98,0.61,0.95,High,3,Urgent Replenishment,3,0.95,7
S005,P0015,769.81,109.97,1.26,Groceries,North,2024-01-30,520,120.89,47.0,16,369,47.0,133.92,329.92,463.84,903.73,384.0,-249.81,4.73,249.81,0.68,1.12,High,3,Urgent Replenishment,3,0.95,7
S002,P0012,695.49,99.36,1.17,Electronics,South,2024-01-30,423,92.62,37.33,4,233,37.33,106.36,298.07,404.43,801.85,379.0,-272.49,4.26,272.49,0.61,1.05,High,3,Urgent Replenishment,3,0.95,7
S001,P0006,663.5,94.79,0.79,Toys,North,2024-01-30,436,91.98,46.01,4,251,46.01,131.1,284.36,415.46,794.6,359.0,-227.5,4.6,227.5,0.66,1.05,High,3,Urgent Replenishment,3,0.95,7
S002,P0020,583.75,83.39,0.18,Furniture,South,2024-01-30,332,73.29,32.15,13,205,32.15,91.6,250.18,341.78,675.35,344.0,-251.75,3.98,251.75,0.57,0.97,High,3,Urgent Replenishment,3,0.95,7
S002,P0003,601.1,85.87,0.98,Groceries,South,2024-01-30,388,118.43,45.04,4,279,45.04,128.34,257.61,385.95,729.44,342.0,-213.1,4.52,213.1,0.65,1.01,High,3,Urgent Replenishment,3,0.95,7
S005,P0018,403.19,57.6,0.84,Clothing,North,2024-01-30,197,122.5,46.25,7,271,46.25,131.77,172.8,304.57,534.96,338.0,-206.19,3.42,206.19,0.49,0.65,High,3,Urgent Replenishment,3,0.95,7
S004,P0003,381.9,54.56,0.49,Furniture,West,2024-01-30,153,74.74,34.28,5,208,34.28,97.66,163.67,261.33,479.56,327.0,-228.9,2.8,228.9,0.4,0.59,High,3,Urgent Replenishment,3,0.95,7
S004,P0002,438.64,62.66,0.89,Groceries,West,2024-01-30,273,122.66,52.23,6,370,52.23,148.8,187.99,336.79,587.44,315.0,-165.64,4.36,165.64,0.62,0.81,High,3,Urgent Replenishment,3,0.95,7
S005,P0011,441.69,63.1,0.16,Electronics,North,2024-01-30,269,92.77,38.04,4,222,38.04,108.38,189.29,297.67,550.06,282.0,-172.69,4.26,172.69,0.61,0.9,High,3,Urgent Replenishment,3,0.95,7
S003,P0004,690.22,98.6,0.44,Groceries,East,2024-01-30,552,120.09,47.63,19,283,47.63,135.7,295.81,431.51,825.93,274.0,-138.22,5.6,138.22,0.8,1.28,High,3,Urgent Replenishment,3,0.95,7
S005,P0007,386.92,55.27,0.64,Groceries,North,2024-01-30,261,120.09,48.43,4,324,48.43,137.99,165.82,303.81,524.91,264.0,-125.92,4.72,125.92,0.67,0.86,High,3,Urgent Replenishment,3,0.95,7
S001,P0020,484.68,69.24,0.17,Furniture,North,2024-01-30,333,73.63,32.59,6,186,32.59,92.86,207.72,300.58,577.54,245.0,-151.68,4.81,151.68,0.69,1.11,High,3,Urgent Replenishment,3,0.95,7
S001,P0008,294.0,42.0,1.05,Electronics,North,2024-01-30,162,93.36,37.96,5,228,37.96,108.16,126.0,234.16,402.16,241.0,-132.0,3.86,132.0,0.55,0.69,High,3,Urgent Replenishment,3,0.95,7
S003,P0005,885.16,126.45,0.85,Toys,East,2024-01-30,782,91.59,46.09,4,241,46.09,131.33,379.35,510.68,1016.48,235.0,-103.16,6.18,103.16,0.88,1.53,High,3,Urgent Replenishment,3,0.95,7
S001,P0011,339.01,48.43,0.34,Furniture,North,2024-01-30,204,74.25,33.31,6,189,33.31,94.9,145.29,240.19,433.91,230.0,-135.01,4.21,135.01,0.6,0.85,High,3,Urgent Replenishment,3,0.95,7
S004,P0016,286.9,40.99,1.18,Furniture,West,2024-01-30,153,71.9,31.76,4,169,31.76,90.48,122.96,213.44,377.38,225.0,-133.9,3.73,133.9,0.53,0.72,High,3,Urgent Replenishment,3,0.95,7
S001,P0007,545.08,77.87,0.99,Groceries,North,2024-01-30,476,120.7,48.22,4,325,48.22,137.38,233.61,370.98,682.46,207.0,-69.08,6.11,69.08,0.87,1.28,High,3,Urgent Replenishment,3,0.95,7
S002,P0001,639.54,91.36,0.91,Groceries,South,2024-01-30,569,120.92,46.14,4,260,46.14,131.47,274.09,405.56,771.01,203.0,-70.54,6.23,70.54,0.89,1.4,High,3,Urgent Replenishment,3,0.95,7
S002,P0002,570.5,81.5,0.33,Toys,South,2024-01-30,515,93.94,46.49,7,258,46.49,132.45,244.5,376.95,702.95,188.0,-55.5,6.32,55.5,0.9,1.37,High,3,Urgent Replenishment,3,0.95,7
S003,P0013,798.36,114.05,0.87,Groceries,East,2024-01-30,781,121.7,48.81,15,343,48.81,139.06,342.16,481.22,937.43,157.0,-17.36,6.85,17.36,0.98,1.62,High,3,Urgent Replenishment,3,0.95,7
S002,P0014,719.77,102.82,0.77,Electronics,South,2024-01-30,676,92.96,37.91,4,229,37.91,108.01,308.47,416.49,827.78,152.0,-43.77,6.57,43.77,0.94,1.62,High,3,Urgent Replenishment,3,0.95,7
S004,P0011,624.85,89.26,0.35,Clothing,West,2024-01-30,596,110.39,39.69,6,315,39.69,113.07,267.79,380.87,737.92,142.0,-28.85,6.68,28.85,0.95,1.56,High,3,Urgent Replenishment,3,0.95,7
S004,P0015,336.37,48.05,1.05,Furniture,West,2024-01-30,292,73.7,32.51,6,184,32.51,92.64,144.16,236.8,429.0,138.0,-44.37,6.08,44.37,0.87,1.23,High,3,Urgent Replenishment,3,0.95,7
S003,P0012,331.64,47.38,1.13,Furniture,East,2024-01-30,286,73.91,31.86,12,188,31.86,90.76,142.13,232.9,422.41,137.0,-45.64,6.04,45.64,0.86,1.23,High,3,Urgent Replenishment,3,0.95,7
S003,P0018,683.04,97.58,0.43,Furniture,East,2024-01-30,652,73.87,31.25,11,167,31.25,89.03,292.73,381.76,772.07,121.0,-31.04,6.68,31.04,0.95,1.71,High,3,Urgent Replenishment,3,0.95,7
S001,P0010,510.58,72.94,0.07,Furniture,North,2024-01-30,518,72.72,31.34,10,195,31.34,89.29,218.82,308.11,599.86,82.0,7.42,7.1,0.0,1.01,1.68,Low,1,Monitor / Replenish,3,0.95,7
S001,P0014,598.16,85.45,0.67,Groceries,North,2024-01-30,660,117.99,48.08,5,328,48.08,136.99,256.35,393.34,735.15,76.0,61.84,7.72,0.0,1.1,1.68,Low,1,Monitor / Replenish,3,0.95,7
S004,P0014,348.45,49.78,1.21,Furniture,West,2024-01-30,379,74.27,32.85,4,182,32.85,93.6,149.33,242.93,442.04,64.0,30.55,7.61,0.0,1.09,1.56,Low,1,Monitor / Replenish,3,0.95,7
S005,P0012,344.46,49.21,1.41,Furniture,North,2024-01-30,375,74.29,32.37,4,193,32.37,92.23,147.63,239.85,436.69,62.0,30.54,7.62,0.0,1.09,1.56,Low,1,Monitor / Replenish,3,0.95,7
S001,P0005,294.76,42.11,1.56,Groceries,North,2024-01-30,946,120.32,47.05,14,301,47.05,134.07,126.33,260.39,428.83,0.0,651.24,22.47,0.0,3.21,3.63,Low,1,No Immediate Action,3,0.95,7
S002,P0015,501.89,71.7,0.68,Clothing,South,2024-01-30,1039,107.44,39.4,4,240,39.4,112.25,215.1,327.35,614.14,0.0,537.11,14.49,0.0,2.07,3.17,Low,1,No Immediate Action,3,0.95,7
S004,P0013,238.98,34.14,2.26,Groceries,West,2024-01-30,389,121.64,48.16,4,273,48.16,137.23,102.42,239.65,376.2,0.0,150.02,11.39,0.0,1.63,1.62,Low,1,No Immediate Action,3,0.95,7
S005,P0013,628.69,89.81,1.14,Groceries,North,2024-01-30,792,121.11,48.61,18,338,48.61,138.49,269.44,407.93,767.18,0.0,163.31,8.82,0.0,1.26,1.94,Low,1,No Immediate Action,3,0.95,7
