Store ID,Product ID,Category,Region,Inventory Date,Current Inventory,Forecast P10 Demand,Forecast P50 Demand,Forecast P90 Demand,Lead Time Days,Lead Time P50 Demand,Lead Time P90 Demand,Safety Stock,Reorder Point,Target Inventory,Recommended Order,Projected Shortage,Days Until Stockout,Inventory Coverage Days,Stockout Risk,Risk Level,Action Priority,Historical Avg Daily Demand,Historical Daily Std Demand,Forecast Uncertainty
S003,P0008,Clothing,East,2024-01-30,170.0,785.06,1018.59,1096.54,3,435.42,459.29,110,545,1129,959,926.54,1.16,1.17,100.0,High,Urgent Replenishment,109.25,38.46,38.46
S001,P0015,Toys,North,2024-01-30,80.0,408.61,468.67,525.08,3,200.97,238.16,132,333,601,521,445.08,1.18,1.19,100.0,High,Urgent Replenishment,91.25,46.22,46.22
S004,P0006,Groceries,West,2024-01-30,134.0,538.03,791.35,939.44,3,335.4,405.77,141,477,940,806,805.44,1.21,1.19,100.0,High,Urgent Replenishment,121.02,49.41,49.41
S001,P0018,Groceries,North,2024-01-30,130.0,486.92,645.08,868.24,3,313.34,393.66,143,456,869,739,738.24,1.21,1.41,100.0,High,Urgent Replenishment,121.91,49.95,49.95
S005,P0019,Furniture,North,2024-01-30,125.0,558.13,704.4,780.37,3,305.56,330.84,92,398,797,672,655.37,1.23,1.24,100.0,High,Urgent Replenishment,72.82,32.26,32.26
S002,P0008,Groceries,South,2024-01-30,85.0,388.1,449.29,769.97,3,196.47,353.32,157,354,770,685,684.97,1.26,1.32,100.0,High,Urgent Replenishment,121.61,48.12,48.12
S003,P0016,Electronics,East,2024-01-30,161.0,743.37,877.64,930.94,3,378.27,395.44,131,509,1008,847,769.94,1.28,1.28,100.0,High,Urgent Replenishment,106.49,45.74,45.74
S004,P0018,Furniture,West,2024-01-30,97.0,479.28,520.45,655.79,3,220.9,280.41,89,310,656,559,558.79,1.31,1.3,100.0,High,Urgent Replenishment,71.68,31.0,31.0
S004,P0017,Clothing,West,2024-01-30,166.0,732.29,875.08,1022.52,3,372.55,436.01,114,487,1023,857,856.52,1.33,1.33,100.0,High,Urgent Replenishment,110.31,39.83,39.83
S005,P0014,Furniture,North,2024-01-30,161.0,714.69,798.86,900.67,3,354.23,374.46,91,445,901,740,739.67,1.33,1.41,100.0,High,Urgent Replenishment,74.77,31.6,31.6
S004,P0005,Clothing,West,2024-01-30,184.0,591.88,869.67,992.54,3,378.63,427.5,110,488,993,809,808.54,1.46,1.48,100.0,High,Urgent Replenishment,109.68,38.28,38.28
S002,P0004,Groceries,South,2024-01-30,129.0,401.6,500.59,874.37,3,225.82,405.46,180,406,875,746,745.37,1.69,1.8,100.0,High,Urgent Replenishment,118.12,48.27,48.27
S005,P0008,Groceries,North,2024-01-30,154.0,468.06,615.94,839.8,3,268.48,364.42,143,412,840,686,685.8,1.69,1.75,100.0,High,Urgent Replenishment,122.43,50.18,50.18
S005,P0002,Electronics,North,2024-01-30,156.0,380.95,636.06,829.23,3,275.07,354.85,113,388,830,674,673.23,1.7,1.72,100.0,High,Urgent Replenishment,95.89,39.56,39.56
S005,P0006,Groceries,North,2024-01-30,266.0,790.46,1061.71,1180.29,3,458.56,511.4,138,597,1200,934,914.29,1.74,1.75,100.0,High,Urgent Replenishment,123.42,48.32,48.32
S002,P0009,Groceries,South,2024-01-30,153.0,336.57,598.92,855.61,3,256.97,377.42,141,398,856,703,702.61,1.75,1.79,100.0,High,Urgent Replenishment,120.72,49.42,49.42
S005,P0020,Toys,North,2024-01-30,126.0,363.44,492.98,634.14,3,210.49,278.53,129,340,635,509,508.14,1.76,1.79,100.0,High,Urgent Replenishment,92.04,45.16,45.16
S004,P0019,Clothing,West,2024-01-30,219.0,744.79,862.87,967.59,3,367.63,409.86,111,479,974,755,748.59,1.8,1.78,100.0,High,Urgent Replenishment,111.99,38.95,38.95
S003,P0014,Groceries,East,2024-01-30,350.0,1088.92,1342.14,1431.15,3,571.96,605.76,131,703,1473,1123,1081.15,1.85,1.83,100.0,High,Urgent Replenishment,119.4,45.7,45.7
S003,P0017,Furniture,East,2024-01-30,239.0,763.41,886.73,1038.89,3,382.57,427.47,89,472,1039,800,799.89,1.87,1.89,100.0,High,Urgent Replenishment,72.47,31.21,31.21
S004,P0012,Electronics,West,2024-01-30,201.0,645.08,746.77,878.0,3,321.35,372.78,111,433,878,677,677.0,1.87,1.88,100.0,High,Urgent Replenishment,96.07,38.93,38.93
S005,P0010,Groceries,North,2024-01-30,115.0,366.31,431.09,607.08,3,186.2,272.09,137,323,608,493,492.08,1.89,1.87,100.0,High,Urgent Replenishment,118.79,47.92,47.92
S004,P0008,Furniture,West,2024-01-30,92.0,220.96,328.12,480.3,3,140.25,210.31,97,238,481,389,388.3,1.93,1.96,100.0,High,Urgent Replenishment,75.11,34.0,34.0
S005,P0003,Toys,North,2024-01-30,212.0,514.4,779.13,832.41,3,329.34,354.21,129,458,908,696,620.41,1.94,1.9,100.0,High,Urgent Replenishment,92.95,45.09,45.09
S001,P0017,Toys,North,2024-01-30,186.0,528.2,675.23,777.27,3,285.37,331.66,134,420,810,624,591.27,1.96,1.93,100.0,High,Urgent Replenishment,94.16,46.99,46.99
S003,P0002,Groceries,East,2024-01-30,327.0,739.6,1160.86,1163.55,3,487.53,490.23,140,628,1301,974,836.55,2.02,1.97,100.0,High,Urgent Replenishment,123.2,49.01,49.01
S001,P0019,Furniture,North,2024-01-30,110.0,308.47,366.6,449.47,3,159.2,200.32,94,253,460,350,339.47,2.04,2.1,100.0,High,Urgent Replenishment,73.48,32.65,32.65
S002,P0019,Clothing,South,2024-01-30,339.0,884.79,1058.4,1123.49,3,448.8,470.13,110,559,1169,830,784.49,2.27,2.24,100.0,High,Urgent Replenishment,109.07,38.61,38.61
S003,P0015,Groceries,East,2024-01-30,413.0,938.37,1261.33,1272.86,3,542.6,545.76,144,687,1406,993,859.86,2.28,2.29,100.0,High,Urgent Replenishment,119.18,50.48,50.48
S004,P0003,Furniture,West,2024-01-30,153.0,331.39,477.6,580.27,3,201.79,256.26,98,300,581,428,427.27,2.28,2.24,100.0,High,Urgent Replenishment,74.74,34.28,34.28
S004,P0004,Groceries,West,2024-01-30,439.0,761.09,1181.76,1181.76,3,511.15,511.15,143,654,1325,886,742.76,2.58,2.6,100.0,High,Urgent Replenishment,122.42,50.05,50.05
S001,P0004,Electronics,North,2024-01-30,241.0,499.96,616.93,714.0,3,266.6,312.45,110,377,727,486,473.0,2.71,2.73,100.0,High,Urgent Replenishment,93.06,38.55,38.55
S001,P0003,Clothing,North,2024-01-30,434.0,700.36,1100.6,1127.11,3,474.48,479.63,124,599,1225,791,693.11,2.74,2.76,100.0,High,Urgent Replenishment,123.34,43.38,43.38
S004,P0009,Clothing,West,2024-01-30,472.0,985.11,1199.75,1234.51,3,512.81,525.1,115,627,1314,842,762.51,2.76,2.75,100.0,High,Urgent Replenishment,108.24,40.07,40.07
S002,P0017,Toys,South,2024-01-30,204.0,354.77,497.98,677.11,3,213.8,298.18,131,345,678,474,473.11,2.86,2.87,100.0,High,Urgent Replenishment,92.93,45.72,45.72
S005,P0005,Groceries,North,2024-01-30,288.0,302.14,658.58,1022.7,3,297.4,437.3,140,438,1023,735,734.7,2.91,3.06,100.0,High,Urgent Replenishment,119.71,47.84,47.84
S005,P0001,Groceries,North,2024-01-30,267.0,395.59,580.76,990.39,3,263.73,433.49,170,434,991,724,723.39,3.04,3.22,100.0,High,Replenish Immediately,119.8,48.13,48.13
S003,P0007,Groceries,East,2024-01-30,187.0,241.16,382.32,731.23,3,178.49,341.96,164,342,732,545,544.23,3.16,3.42,100.0,High,Replenish Immediately,122.18,46.41,46.41
S004,P0010,Groceries,West,2024-01-30,247.0,436.98,527.5,807.48,3,234.23,362.47,135,370,808,561,560.48,3.17,3.28,100.0,High,Replenish Immediately,120.07,47.35,47.35
S005,P0004,Groceries,North,2024-01-30,141.0,227.92,301.83,648.16,3,130.74,304.09,174,305,649,508,507.16,3.23,3.27,100.0,High,Replenish Immediately,123.29,48.76,48.76
S001,P0001,Electronics,North,2024-01-30,383.0,705.57,824.77,902.33,3,352.2,377.91,102,454,927,544,519.33,3.26,3.25,100.0,High,Replenish Immediately,92.81,35.54,35.54
S001,P0016,Groceries,North,2024-01-30,225.0,336.97,471.8,860.92,3,204.4,396.18,192,397,861,636,635.92,3.32,3.34,100.0,High,Replenish Immediately,122.18,50.28,50.28
S004,P0016,Furniture,West,2024-01-30,153.0,238.83,322.29,429.08,3,137.63,197.27,91,229,430,277,276.08,3.33,3.32,100.0,High,Replenish Immediately,71.9,31.76,31.76
S005,P0018,Clothing,North,2024-01-30,197.0,285.86,407.11,644.01,3,169.98,300.61,132,302,645,448,447.01,3.47,3.39,100.0,High,Replenish Immediately,122.5,46.25,46.25
S002,P0020,Furniture,South,2024-01-30,332.0,565.79,658.95,693.24,3,281.9,297.24,92,374,751,419,361.24,3.53,3.53,100.0,High,Replenish Immediately,73.29,32.15,32.15
S005,P0016,Toys,North,2024-01-30,233.0,347.74,450.73,560.72,3,189.74,249.2,135,325,586,353,327.72,3.68,3.62,100.0,High,Replenish Immediately,94.88,47.25,47.25
S001,P0011,Furniture,North,2024-01-30,204.0,317.34,389.26,489.08,3,165.65,217.52,95,261,490,286,285.08,3.68,3.67,100.0,High,Replenish Immediately,74.25,33.31,33.31
S005,P0007,Groceries,North,2024-01-30,261.0,385.8,480.9,776.99,3,208.75,344.09,138,347,777,516,515.99,3.77,3.8,100.0,High,Replenish Immediately,120.09,48.43,48.43
S002,P0007,Toys,South,2024-01-30,414.0,535.47,766.05,857.74,3,328.3,370.22,133,461,899,485,443.74,3.78,3.78,100.0,High,Replenish Immediately,91.87,46.37,46.37
S004,P0001,Groceries,West,2024-01-30,342.0,408.1,581.96,977.32,3,260.46,429.09,169,430,978,636,635.32,3.96,4.11,100.0,High,Replenish Immediately,122.98,47.81,47.81
S001,P0012,Groceries,North,2024-01-30,396.0,558.3,697.83,930.9,3,299.15,405.3,138,438,931,535,534.9,3.97,3.97,100.0,High,Replenish Immediately,119.98,48.38,48.38
S002,P0005,Electronics,South,2024-01-30,552.0,715.7,956.5,1037.78,3,408.71,439.67,115,524,1072,520,485.78,4.06,4.04,100.0,High,Replenish Immediately,96.29,40.35,40.35
S003,P0001,Toys,East,2024-01-30,207.0,256.9,351.53,459.48,3,150.47,218.96,125,275,476,269,252.48,4.16,4.12,100.0,High,Replenish Immediately,91.44,43.64,43.64
S004,P0007,Groceries,West,2024-01-30,574.0,762.94,929.99,1147.25,3,399.09,488.56,138,537,1148,574,573.25,4.32,4.32,100.0,High,Replenish Immediately,120.28,48.36,48.36
S002,P0003,Groceries,South,2024-01-30,388.0,498.91,615.74,754.75,3,265.22,329.35,129,394,755,367,366.75,4.37,4.41,100.0,High,Replenish Immediately,118.43,45.04,45.04
S001,P0008,Electronics,North,2024-01-30,162.0,205.66,252.23,361.38,3,112.3,165.28,109,221,362,200,199.38,4.55,4.5,100.0,High,Replenish Immediately,93.36,37.96,37.96
S001,P0006,Toys,North,2024-01-30,436.0,553.12,653.6,712.19,3,281.68,305.22,132,413,785,349,276.19,4.63,4.67,100.0,High,Replenish Immediately,91.98,46.01,46.01
S002,P0014,Electronics,South,2024-01-30,676.0,698.43,828.47,909.79,3,356.79,388.47,109,465,937,261,233.79,5.7,5.71,100.0,High,Replenish Immediately,92.96,37.91,37.91
S002,P0001,Groceries,South,2024-01-30,569.0,616.69,681.06,815.34,3,293.58,363.11,132,426,816,247,246.34,5.85,5.85,100.0,High,Replenish Immediately,120.92,46.14,46.14
S001,P0020,Furniture,North,2024-01-30,333.0,323.47,390.42,473.89,3,169.38,205.07,93,263,484,151,140.89,5.94,5.97,93.67,High,Replenish Immediately,73.63,32.59,32.59
S005,P0011,Electronics,North,2024-01-30,269.0,220.2,292.56,594.63,3,130.65,291.26,161,292,595,326,325.63,6.41,6.44,86.97,High,Replenish Immediately,92.77,38.04,38.04
S005,P0012,Furniture,North,2024-01-30,375.0,346.88,426.32,517.49,3,184.34,225.6,93,277,519,144,142.49,6.14,6.16,83.52,High,Replenish Immediately,74.29,32.37,32.37
S003,P0013,Groceries,East,2024-01-30,781.0,690.4,918.36,1134.75,3,380.01,479.21,140,520,1135,354,353.75,6.09,5.95,79.61,High,Replenish Immediately,121.7,48.81,48.81
S004,P0002,Groceries,West,2024-01-30,273.0,198.1,302.84,538.93,3,129.91,259.28,149,279,539,266,265.93,6.2,6.31,78.03,High,Replenish Immediately,122.66,52.23,52.23
S001,P0010,Furniture,North,2024-01-30,518.0,490.73,540.93,608.44,3,232.27,263.05,90,322,631,113,90.44,6.7,6.7,76.83,High,Replenish Immediately,72.72,31.34,31.34
S002,P0012,Electronics,South,2024-01-30,423.0,319.51,448.6,684.14,3,193.11,296.37,107,300,685,262,261.14,6.59,6.6,71.62,High,Replenish Immediately,92.62,37.33,37.33
S005,P0013,Groceries,North,2024-01-30,792.0,651.09,765.79,1087.22,3,329.59,465.34,139,469,1088,296,295.22,inf,7.24,67.69,Medium,Replenish Soon,121.11,48.61,48.61
S001,P0007,Groceries,North,2024-01-30,476.0,362.1,387.34,711.81,3,168.39,332.6,165,333,712,236,235.81,inf,8.6,67.43,Medium,Replenish Soon,120.7,48.22,48.22
S002,P0002,Toys,South,2024-01-30,515.0,396.92,494.12,679.3,3,217.44,305.95,133,350,680,165,164.3,inf,7.3,58.18,Medium,Replenish Soon,93.94,46.49,46.49
S005,P0015,Groceries,North,2024-01-30,520.0,364.06,428.24,736.59,3,188.34,340.48,153,341,737,217,216.59,inf,8.5,58.14,Medium,Replenish Soon,120.89,47.0,47.0
S003,P0004,Groceries,East,2024-01-30,552.0,360.19,441.46,790.79,3,198.19,367.18,169,368,791,239,238.79,inf,8.75,55.45,Medium,Replenish Soon,120.09,47.63,47.63
S004,P0014,Furniture,West,2024-01-30,379.0,299.67,355.89,460.07,3,151.25,200.36,94,245,461,82,81.07,inf,7.45,50.54,Medium,Replenish Soon,74.27,32.85,32.85
S003,P0012,Furniture,East,2024-01-30,286.0,170.35,293.25,391.68,3,121.74,175.74,91,213,392,106,105.68,6.83,6.83,47.75,Medium,Replenish Soon,73.91,31.86,31.86
S004,P0013,Groceries,West,2024-01-30,389.0,126.79,232.7,591.89,3,115.61,296.68,182,297,592,203,202.89,inf,11.7,43.62,Medium,Replenish Soon,121.64,48.16,48.16
S003,P0005,Toys,East,2024-01-30,782.0,463.76,991.27,993.19,3,422.43,424.35,132,554,1123,341,211.19,5.54,5.52,39.89,Medium,Replenish Soon,91.59,46.09,46.09
S004,P0015,Furniture,West,2024-01-30,292.0,144.48,233.66,367.14,3,93.64,166.42,93,187,368,76,75.14,inf,8.75,33.75,Low,Monitor,73.7,32.51,32.51
S001,P0014,Groceries,North,2024-01-30,660.0,394.47,454.25,720.92,3,196.65,333.28,137,334,721,61,60.92,inf,10.17,18.66,Low,Monitor,117.99,48.08,48.08
S003,P0018,Furniture,East,2024-01-30,652.0,494.1,604.64,682.13,3,259.43,290.08,90,349,694,42,30.13,inf,7.55,16.03,Low,Monitor,73.87,31.25,31.25
S004,P0011,Clothing,West,2024-01-30,596.0,430.19,518.74,608.78,3,218.61,269.87,114,332,632,36,12.78,inf,8.04,7.16,Low,Monitor,110.39,39.69,39.69
S001,P0005,Groceries,North,2024-01-30,946.0,179.77,333.62,596.64,3,144.26,295.91,152,296,597,0,0.0,inf,19.85,0.0,Low,Monitor,120.32,47.05,47.05
S002,P0015,Clothing,South,2024-01-30,1039.0,381.01,485.26,703.54,3,211.45,328.6,118,329,704,0,0.0,inf,14.99,0.0,Low,Monitor,107.44,39.4,39.4
